,response,touch_sensor,turn right,turn left,forward,backward,check
623,2,0,0,0,1,0,0
624,-1,0,1,0,0,0,0
625,-1,0,1,0,0,0,0
626,-1,-1,0,0,0,0,1
627,-1,0,1,0,0,0,0
628,-1,-1,0,0,0,0,1
629,-1,0,1,0,0,0,0
630,-1,-1,0,0,0,0,1
631,2,0,0,0,1,0,0
632,-1,0,0,1,0,0,0
633,2,0,0,0,1,0,0
634,-1,0,0,1,0,0,0
635,-1,-1,0,0,0,0,1
636,-1,0,0,1,0,0,0
637,2,0,0,0,0,0,0
638,-1,0,1,0,0,0,0
639,-1,0,1,0,0,0,0
640,2,0,0,0,1,0,0
641,-1,0,0,1,0,0,0
642,2,0,0,0,0,0,0
643,-1,0,0,1,0,0,0
644,2,0,0,0,1,0,0
645,2,0,0,0,0,0,0
646,2,0,0,0,0,0,0
647,-1,-1,0,0,0,0,1
648,2,0,0,0,1,0,0
649,-1,0,0,1,0,0,0
650,-10,0,0,0,1,0,0
651,2,0,0,0,0,0,0
652,-1,0,0,1,0,0,0
653,2,0,0,0,0,0,0
654,-1,-1,0,0,0,0,1
655,-1,-1,0,0,0,0,1
656,-1,-1,0,0,0,0,1
657,2,0,0,0,1,0,0
658,2,0,0,0,0,0,0
659,2,0,0,0,1,0,0
660,2,0,0,0,0,0,0
661,-1,-1,0,0,0,0,1
662,-1,-1,0,0,0,0,1
663,-1,-1,0,0,0,0,1
664,-1,-1,0,0,0,0,1
665,-1,-1,0,0,0,0,1
666,2,0,0,0,1,0,0
667,-1,0,0,1,0,0,0
668,-1,-1,0,0,0,0,1
669,-1,0,1,0,0,0,0
670,-1,0,1,0,0,0,0
671,-1,0,0,1,0,0,0
672,-1,0,1,0,0,0,0
673,-1,-1,0,0,0,0,1
674,-1,0,0,1,0,0,0
675,2,0,0,0,0,0,0
676,-1,0,0,1,0,0,0
677,2,0,0,0,0,0,0
678,2,0,0,0,1,0,0
679,2,0,0,0,1,0,0
680,-1,0,1,0,0,0,0
681,-1,0,0,1,0,0,0
682,-1,-1,0,0,0,0,1
683,-1,-1,0,0,0,0,1
684,2,0,0,0,1,0,0
685,-1,-1,0,0,0,0,1
686,-1,0,0,1,0,0,0
687,2,0,0,0,1,0,0
688,2,0,0,0,0,0,0
689,-1,0,1,0,0,0,0
690,-1,-1,0,0,0,0,1
691,-1,0,1,0,0,0,0
692,2,0,0,0,1,0,0
693,-1,0,1,0,0,0,0
694,-1,0,1,0,0,0,0
695,2,0,0,0,1,0,0
696,2,0,0,0,1,0,0
697,2,0,0,0,0,0,0
698,-1,0,1,0,0,0,0
699,2,0,0,0,0,0,0
700,-1,0,1,0,0,0,0
701,-1,-1,0,0,0,0,1
702,2,0,0,0,1,0,0
703,2,0,0,0,0,0,0
704,-1,-1,0,0,0,0,1
705,-1,0,1,0,0,0,0
706,-1,-1,0,0,0,0,1
707,2,0,0,0,1,0,0
708,2,0,0,0,1,0,0
709,2,0,0,0,0,0,0
710,2,0,0,0,1,0,0
711,-1,0,0,1,0,0,0
712,2,0,0,0,0,0,0
713,2,0,0,0,1,0,0
714,-1,0,1,0,0,0,0
715,-1,-1,0,0,0,0,1
716,-1,0,0,1,0,0,0
717,2,0,0,0,1,0,0
718,2,0,0,0,1,0,0
719,-1,-1,0,0,0,0,1
720,2,0,0,0,1,0,0
721,-1,1,0,0,0,0,1
722,-10,0,0,0,1,0,0
723,-1,0,1,0,0,0,0
724,-10,0,0,0,1,0,0
725,2,0,0,0,0,0,0
726,-1,-1,0,0,0,0,1
727,2,0,0,0,1,0,0
728,-1,1,0,0,0,0,1
729,2,0,0,0,0,0,0
730,2,0,0,0,0,0,0
731,2,0,0,0,0,0,0
732,-1,-1,0,0,0,0,1
733,-1,0,1,0,0,0,0
734,-10,0,0,0,0,0,0
735,-1,-1,0,0,0,0,1
736,-10,0,0,0,0,0,0
737,-10,0,0,0,0,0,0
738,-1,0,0,1,0,0,0
739,-1,0,0,1,0,0,0
740,-10,0,0,0,1,0,0
741,-1,1,0,0,0,0,1
742,-1,0,0,1,0,0,0
743,-1,0,0,1,0,0,0
744,2,0,0,0,1,0,0
745,2,0,0,0,0,0,0
746,-1,0,0,1,0,0,0
747,-1,-1,0,0,0,0,1
748,-1,0,0,1,0,0,0
749,2,0,0,0,0,0,0
750,-1,0,0,1,0,0,0
751,-1,0,1,0,0,0,0
752,-1,0,1,0,0,0,0
753,2,0,0,0,0,0,0
754,-10,0,0,0,0,0,0
755,-1,0,1,0,0,0,0
756,-1,-1,0,0,0,0,1
757,-1,0,0,1,0,0,0
758,-1,-1,0,0,0,0,1
759,-10,0,0,0,0,0,0
760,2,0,0,0,1,0,0
761,-1,0,1,0,0,0,0
762,-1,-1,0,0,0,0,1
763,2,0,0,0,1,0,0
764,-1,0,0,1,0,0,0
765,2,0,0,0,1,0,0
766,2,0,0,0,1,0,0
767,2,0,0,0,1,0,0
768,-1,1,0,0,0,0,1
769,2,0,0,0,0,0,0
770,-1,0,0,1,0,0,0
771,2,0,0,0,0,0,0
772,-1,0,0,1,0,0,0
773,2,0,0,0,0,0,0
774,2,0,0,0,1,0,0
775,2,0,0,0,0,0,0
776,-1,-1,0,0,0,0,1
777,2,0,0,0,1,0,0
778,-1,0,1,0,0,0,0
779,-1,0,0,1,0,0,0
780,-1,-1,0,0,0,0,1
781,-1,-1,0,0,0,0,1
782,2,0,0,0,1,0,0
783,-1,0,0,1,0,0,0
784,2,0,0,0,1,0,0
785,-1,0,1,0,0,0,0
786,2,0,0,0,1,0,0
787,-1,-1,0,0,0,0,1
788,-1,0,0,1,0,0,0
789,2,0,0,0,0,0,0
790,-1,0,0,1,0,0,0
791,-1,-1,0,0,0,0,1
792,-1,-1,0,0,0,0,1
793,2,0,0,0,0,0,0
794,-10,0,0,0,0,0,0
795,-1,0,0,1,0,0,0
796,-1,0,1,0,0,0,0
797,-1,0,1,0,0,0,0
798,-1,0,1,0,0,0,0
799,-1,1,0,0,0,0,1
800,-1,1,0,0,0,0,1
801,2,0,0,0,0,0,0
802,2,0,0,0,0,0,0
803,-1,0,1,0,0,0,0
804,2,0,0,0,0,0,0
805,2,0,0,0,1,0,0
806,2,0,0,0,0,0,0
807,-1,0,1,0,0,0,0
808,-1,0,0,1,0,0,0
809,2,0,0,0,1,0,0
810,-1,0,1,0,0,0,0
811,2,0,0,0,0,0,0
812,-1,0,1,0,0,0,0
813,2,0,0,0,0,0,0
814,2,0,0,0,0,0,0
815,2,0,0,0,1,0,0
816,2,0,0,0,1,0,0
817,2,0,0,0,0,0,0
818,2,0,0,0,1,0,0
819,-1,0,0,1,0,0,0
820,-1,0,1,0,0,0,0
821,-1,0,1,0,0,0,0
822,-1,0,0,1,0,0,0
